Question,Answer
LICENSE_NAME,Cosmetologiest
SHORT_NAME,CMS
CATEGORY,Cosmetologists
LICENSEAPPLICABLEFOR,Constituent and business entity
LICENSE_FEE,50
MAX_QUANTITY,20
REPORTINGFREQUENCY,Monthly
ACTION_ON_INSPECTION,Do nothing to product that depends on this
DEPENDENT_LICENSE,Commercial Fishing
SELECTED_INSPECTION,Agriculture Basic Applicator
START_MONTH_AND_DATE_MONTH,Jul
START_MONTH_AND_DATE_DATE,19
EXPIRYTYPE,Number Of Months
EXPIRY_PERIOD,12
FUTUREWINDOWSTARTMONTH,Jan
STARTDATEFORFUTUREWINDOW,12
FUTUREWINDOWENDMONTH,Oct
ENDDATEFORFUTUREWINDOW,15
RENEWAL_LIMIT_FOR_ACTIVE_LICENSE,2
RENEWAL_LIMIT_FOR_EXPIRED_LICENSE,3
IS_PRE_QUALIFICATION_NEEDED_TRUE,2
QUALIFICATION_TYPE,Commercial Operator|Commercial Applicator
IS_CREDITS_NEEDED_TRUE,3
CREDIT_TYPE,Forest|Greenhouse|Nursery
CREDIT_SCORE,2|1.5|3
ELIGIBILITY_TYPE,Select
Constituent Eligibility,3
State,Alaska|Texas|Virginia
Minimmum Age,18|16|21
Maximmum Age,24|35|36
Military,Yes|No|Yes
Business Eligibility,2
State,Virginia|Kansas
IS_EXPERTISE_NEEDED_TRUE,Yes
EXPERTISE_TYPE,Education|Experience|Training
PROCESS,Apply|Renew|Apply and Renew
IS_SUPPLEMENT_NEEDED_TRUE,Yes
SUPPLEMENT_TYPE,Vehicles|Vessels|Facilities
OWNERSHIP_REQUIRED,Yes|No|Yes
DOCUMENTS_REQUIRED,Business Proofs|Identification Proofs
DISCLOSURES_REQUIRED,DIS0018|DIS0001
UPGRADE_LICENSE,Wholesale Seafood
UPGRADE_LICENSE_COST,120
