Question,Answer
LICENSE_NAME,Cosmetologiest
SHORT_NAME,updCMS
CATEGORY,updCosmetologists
LICENSEAPPLICABLEFOR,Constituent
LICENSE_FEE,10
MAX_QUANTITY,30
REPORTINGFREQUENCY,Yearly
ACTION_ON_INSPECTION,Void the licensed product that's dependent on this one
DEPENDENT_LICENSE,Agriculture Basic Applicator
SELECTED_INSPECTION,Commercial Fishing
START_MONTH_AND_DATE_MONTH,Jun
START_MONTH_AND_DATE_DATE,10
EXPIRYTYPE,Number Of Years
EXPIRY_PERIOD,1
FUTUREWINDOWSTARTMONTH,Jul
STARTDATEFORFUTUREWINDOW,12
FUTUREWINDOWENDMONTH,Sep
ENDDATEFORFUTUREWINDOW,15
RENEWAL_LIMIT_FOR_ACTIVE_LICENSE,1
RENEWAL_LIMIT_FOR_EXPIRED_LICENSE,2
IS_PRE_QUALIFICATION_NEEDED_TRUE,2
QUALIFICATION_TYPE,Agricultural Basic Applicator|Commercial Applicator - Master
IS_CREDITS_NEEDED_TRUE,3
CREDIT_TYPE,Food Processing and Fumigation|Orchard Fruit|Nursery
CREDIT_SCORE,1|2.5|1.5
ELIGIBILITY_TYPE,Select
Constituent Eligibility,3
State,Alaska|Texas|Virginia
Minimmum Age,18|16|21
Maximmum Age,24|35|36
Military,Yes|No|Yes
Business Eligibility,2
State,Virginia|Kansas
IS_EXPERTISE_NEEDED_TRUE,Yes
EXPERTISE_TYPE,Education|Experience|Training
PROCESS,Apply and Renew|Apply|Renew
IS_SUPPLEMENT_NEEDED_TRUE,Yes
SUPPLEMENT_TYPE,Vehicles|Vessels
OWNERSHIP_REQUIRED,No|Yes
DOCUMENTS_REQUIRED,Whelk Permit|Periwinkle
DISCLOSURES_REQUIRED,DIS0020|DIS0014
